date,Clicks,Dischem,Avon,CeraVe,Perfume,Hair,Makeup,Cosmetics,Beauty Salon
2023-01-08,61,33,19,9,70,90,6,3,2
2023-01-09,59,26,18,6,61,85,6,3,0
2023-01-10,62,33,20,9,50,80,5,2,1
2023-01-11,55,28,17,8,60,67,6,3,0
2023-01-12,49,23,21,10,65,71,7,3,1
2023-01-13,60,27,20,6,68,76,6,4,1
2023-01-14,57,27,15,0,66,81,6,3,2
2023-01-15,65,30,16,8,70,82,6,3,0
2023-01-16,55,22,22,6,57,66,4,2,2
2023-01-17,55,32,18,6,53,69,5,2,1
2023-01-18,52,21,20,6,60,61,5,3,0
2023-01-19,51,20,21,4,62,63,4,3,1
2023-01-20,55,26,28,0,58,64,5,3,0
2023-01-21,62,36,13,8,61,77,6,3,2
2023-01-22,63,33,16,0,70,77,6,2,0
2023-01-23,61,28,32,7,70,64,5,2,2
2023-01-24,51,28,25,0,67,62,6,4,1
2023-01-25,66,29,23,7,65,65,6,3,2
2023-01-26,61,30,26,6,77,71,6,4,1
2023-01-27,65,36,27,9,68,71,6,4,2
2023-01-28,76,38,21,6,84,88,7,2,0
2023-01-29,74,31,12,11,90,84,7,3,1
2023-01-30,59,32,27,6,70,64,6,4,2
2023-01-31,64,29,31,9,81,68,4,3,1
2023-02-01,67,34,29,7,77,63,5,3,0
2023-02-02,65,29,29,4,68,65,5,3,2
2023-02-03,65,28,21,6,81,76,7,4,2
2023-02-04,65,29,19,9,82,84,7,3,2
2023-02-05,71,33,10,13,80,89,7,4,0
2023-02-06,59,25,24,8,73,62,5,3,1
2023-02-07,61,33,26,6,75,65,6,3,2
2023-02-08,62,28,24,0,88,63,6,4,2
2023-02-09,61,28,28,0,82,65,6,4,1
2023-02-10,65,25,21,10,87,66,5,4,0
2023-02-11,51,34,14,9,87,77,6,4,0
2023-02-12,60,31,15,8,80,79,9,3,0
2023-02-13,51,24,19,7,76,57,6,3,0
2023-02-14,53,18,17,6,100,59,6,3,0
2023-02-15,63,26,23,7,80,60,6,3,2
2023-02-16,62,26,18,8,66,66,5,2,2
2023-02-17,59,33,21,7,68,66,7,3,1
2023-02-18,51,29,22,7,65,78,7,3,1
2023-02-19,61,27,14,10,70,81,9,3,0
2023-02-20,57,24,24,8,56,58,5,3,0
2023-02-21,64,27,23,7,62,67,6,2,1
2023-02-22,62,26,33,11,61,66,5,3,1
2023-02-23,69,29,25,11,74,67,7,3,1
2023-02-24,72,39,24,8,88,75,7,3,2
2023-02-25,75,44,21,10,83,93,8,4,1
2023-02-26,84,47,18,15,77,84,8,4,2
2023-02-27,68,38,37,10,65,69,6,3,2
2023-02-28,77,38,41,10,82,67,5,4,2
2023-03-01,66,31,27,10,74,68,7,3,2
2023-03-02,72,32,26,7,78,64,6,3,0
2023-03-03,61,31,20,7,63,71,6,4,1
2023-03-04,78,40,17,8,75,86,7,4,1
2023-03-05,63,28,14,10,66,79,6,3,1
2023-03-06,58,29,25,0,70,67,6,3,2
2023-03-07,61,28,25,5,68,64,5,3,2
2023-03-08,51,25,25,5,65,61,6,2,1
2023-03-09,62,21,25,5,65,67,5,3,2
2023-03-10,61,31,24,5,66,74,7,3,2
2023-03-11,65,33,17,11,64,85,6,3,1
2023-03-12,70,30,17,10,69,81,5,3,0
2023-03-13,58,31,21,5,64,67,6,3,1
2023-03-14,60,24,26,4,68,65,5,3,2
2023-03-15,71,25,22,8,63,63,5,3,2
2023-03-16,63,29,29,9,68,63,6,3,0
2023-03-17,59,29,23,6,66,79,7,3,0
2023-03-18,66,29,23,10,69,86,8,3,2
2023-03-19,73,28,20,7,69,82,6,2,0
2023-03-20,71,33,26,10,67,81,7,4,0
2023-03-21,70,37,21,9,77,93,7,4,2
2023-03-22,62,33,31,7,76,74,6,2,2
2023-03-23,67,28,29,10,72,71,6,4,1
2023-03-24,69,31,30,8,73,81,6,4,0
2023-03-25,88,33,24,10,86,89,9,4,1
2023-03-26,88,41,19,8,74,96,10,3,0
2023-03-27,70,34,29,8,77,78,7,3,2
2023-03-28,70,37,33,8,73,77,7,4,1
2023-03-29,69,33,28,7,72,79,6,3,2
2023-03-30,79,34,35,10,80,81,6,3,0
2023-03-31,71,28,35,9,72,72,9,4,2
2023-04-01,75,36,22,12,76,89,8,3,1
2023-04-02,72,40,21,0,74,84,8,4,0
2023-04-03,77,35,31,6,67,71,6,3,2
2023-04-04,68,37,33,9,73,78,8,3,2
2023-04-05,73,35,21,9,75,80,6,4,1
2023-04-06,65,35,20,11,58,80,6,3,0
2023-04-07,75,26,17,6,84,86,7,3,0
2023-04-08,71,36,16,5,66,83,7,4,1
2023-04-09,67,30,14,8,73,79,6,3,2
2023-04-10,88,44,22,10,70,87,6,4,1
2023-04-11,56,23,23,12,69,85,7,2,3
2023-04-12,65,29,32,8,66,64,6,4,0
2023-04-13,63,32,22,10,66,67,7,3,2
2023-04-14,66,32,27,0,68,69,8,2,1
2023-04-15,77,34,22,7,85,82,7,2,0
2023-04-16,64,34,13,7,70,83,8,3,0
2023-04-17,57,28,29,6,61,68,6,3,1
2023-04-18,66,36,28,10,73,67,6,3,2
2023-04-19,68,29,29,4,69,68,8,4,1
2023-04-20,69,26,26,7,79,70,5,4,1
2023-04-21,61,26,30,8,73,74,7,4,1
2023-04-22,67,31,19,8,69,86,8,4,0
2023-04-23,56,28,19,13,70,78,7,3,1
2023-04-24,74,31,30,8,82,70,7,2,1
2023-04-25,78,40,35,9,81,74,6,4,1
2023-04-26,82,37,32,7,73,75,6,4,2
2023-04-27,85,37,28,9,89,95,8,4,1
2023-04-28,85,38,32,5,79,97,7,3,2
2023-04-29,81,49,28,6,74,93,8,5,1
2023-04-30,75,35,28,9,70,86,7,4,1
2023-05-01,76,36,21,8,60,84,7,3,2
2023-05-02,68,31,24,9,63,62,5,3,0
2023-05-03,66,29,25,6,69,59,5,3,1
2023-05-04,75,33,23,9,77,63,7,4,2
2023-05-05,66,34,23,11,76,72,7,3,1
2023-05-06,69,26,21,9,73,75,7,3,0
2023-05-07,65,35,16,8,69,75,7,3,0
2023-05-08,59,29,25,9,65,57,5,3,1
2023-05-09,57,29,30,7,73,58,6,4,2
2023-05-10,62,28,23,0,76,62,6,3,1
2023-05-11,54,28,23,7,65,64,6,4,2
2023-05-12,56,27,21,7,80,65,5,4,0
2023-05-13,66,31,15,10,86,73,8,2,1
2023-05-14,66,26,16,0,83,70,6,3,0
2023-05-15,54,27,24,7,67,58,6,6,1
2023-05-16,54,27,20,4,60,57,5,7,1
2023-05-17,54,24,20,5,65,56,4,6,0
2023-05-18,54,20,18,6,64,64,5,5,1
2023-05-19,55,32,25,6,63,65,6,4,2
2023-05-20,63,29,20,7,68,76,8,5,0
2023-05-21,73,31,19,13,71,78,7,4,1
2023-05-22,65,34,27,7,71,64,5,4,2
2023-05-23,64,32,26,9,67,64,6,4,2
2023-05-24,70,35,23,0,62,65,5,4,2
2023-05-25,73,34,27,10,73,68,7,6,3
2023-05-26,77,42,25,9,71,75,6,4,1
2023-05-27,72,38,15,9,80,86,8,4,0
2023-05-28,72,36,17,13,71,79,6,4,2
2023-05-29,66,34,23,8,63,64,5,4,1
2023-05-30,67,32,24,9,62,64,5,3,1
2023-05-31,63,28,32,12,71,64,5,5,0
2023-06-01,68,31,28,7,75,65,6,4,2
2023-06-02,74,30,23,8,68,77,6,4,0
2023-06-03,72,35,19,5,79,89,7,3,1
2023-06-04,73,33,13,7,77,86,7,4,1
2023-06-05,80,33,22,9,68,69,6,4,2
2023-06-06,67,26,18,9,61,69,5,2,0
2023-06-07,65,33,23,9,55,71,5,3,1
2023-06-08,63,33,20,9,72,66,7,4,1
2023-06-09,70,32,24,6,75,77,7,3,1
2023-06-10,83,38,15,12,80,87,9,4,1
2023-06-11,63,26,13,11,69,75,8,4,0
2023-06-12,65,29,22,9,75,64,6,3,2
2023-06-13,62,28,23,6,64,67,7,3,1
2023-06-14,63,33,30,10,67,67,7,3,2
2023-06-15,70,37,21,7,77,73,8,3,2
2023-06-16,71,36,18,9,66,80,7,2,1
2023-06-17,80,40,17,11,84,89,7,3,1
2023-06-18,74,34,14,12,81,81,7,3,0
2023-06-19,66,39,24,12,71,66,7,3,1
2023-06-20,70,33,24,10,73,72,6,5,2
2023-06-21,73,33,22,10,64,71,8,4,2
2023-06-22,76,34,31,8,76,81,8,3,2
2023-06-23,84,45,22,10,82,82,8,4,1
2023-06-24,97,41,17,11,84,100,7,3,3
2023-06-25,83,46,21,13,83,99,7,3,0
2023-06-26,90,36,24,11,75,83,6,4,0
2023-06-27,76,40,21,11,77,81,7,4,2
2023-06-28,76,37,20,9,70,82,8,4,1
2023-06-29,81,41,29,13,66,84,7,3,1
2023-06-30,80,39,33,12,70,89,6,4,1
2023-07-01,85,43,26,14,80,99,9,4,2
2023-07-02,88,45,15,17,84,87,8,4,0
2023-07-03,82,47,29,10,79,86,7,4,2
2023-07-04,82,37,21,9,74,82,7,4,2
2023-07-05,81,39,25,10,69,89,7,4,1
2023-07-06,81,32,22,12,72,88,6,5,1
2023-07-07,84,38,17,10,83,90,6,5,1
2023-07-08,75,40,15,14,69,98,9,5,0
