date,Facebook,Online Marketplace
2022-01-06,93,0
2022-01-07,92,0
2022-01-08,91,0
2022-01-09,88,0
2022-01-10,95,0
2022-01-11,93,0
2022-01-12,90,0
2022-01-13,91,0
2022-01-14,95,0
2022-01-15,85,0
2022-01-16,97,0
2022-01-17,93,0
2022-01-18,89,0
2022-01-19,93,0
2022-01-20,90,0
2022-01-21,92,0
2022-01-22,86,0
2022-01-23,71,0
2022-01-24,81,0
2022-01-25,79,0
2022-01-26,88,0
2022-01-27,91,0
2022-01-28,95,0
2022-01-29,88,0
2022-01-30,89,0
2022-01-31,92,0
2022-02-01,90,0
2022-02-02,81,0
2022-02-03,87,0
2022-02-04,91,0
2022-02-05,91,0
2022-02-06,86,0
2022-02-07,94,0
2022-02-08,80,0
2022-02-09,83,0
2022-02-10,89,0
2022-02-11,92,0
2022-02-12,100,0
2022-02-13,82,0
2022-02-14,88,0
2022-02-15,79,0
2022-02-16,79,0
2022-02-17,84,0
2022-02-18,91,0
2022-02-19,77,0
2022-02-20,71,0
2022-02-21,84,0
2022-02-22,82,0
2022-02-23,76,0
2022-02-24,80,0
2022-02-25,78,0
2022-02-26,70,0
2022-02-27,69,0
2022-02-28,82,0
2022-03-01,78,0
2022-03-02,80,0
2022-03-03,83,0
2022-03-04,77,0
2022-03-05,74,0
2022-03-06,72,0
2022-03-07,83,0
2022-03-08,78,0
2022-03-09,78,0
2022-03-10,79,0
2022-03-11,80,0
2022-03-12,72,0
2022-03-13,72,0
2022-03-14,82,0
2022-03-15,78,0
2022-03-16,80,0
2022-03-17,84,0
2022-03-18,84,0
2022-03-19,74,0
2022-03-20,75,0
2022-03-21,80,0
2022-03-22,89,0
2022-03-23,84,0
2022-03-24,85,0
2022-03-25,90,0
2022-03-26,81,0
2022-03-27,81,0
2022-03-28,87,0
2022-03-29,89,0
2022-03-30,80,0
2022-03-31,86,0
2022-04-01,87,0
2022-04-02,77,0
2022-04-03,82,0
2022-04-04,85,0
2022-04-05,84,0
2022-04-06,85,0
2022-04-07,80,0
2022-04-08,83,0
2022-04-09,75,0
2022-04-10,73,0
2022-04-11,87,0
2022-04-12,89,0
2022-04-13,81,0
2022-04-14,92,0
2022-04-15,87,0
2022-04-16,79,0
2022-04-17,81,0
2022-04-18,79,0
2022-04-19,81,0
2022-04-20,79,0
2022-04-21,85,0
2022-04-22,86,0
2022-04-23,71,0
2022-04-24,69,0
2022-04-25,79,0
2022-04-26,80,0
2022-04-27,70,0
2022-04-28,80,0
2022-04-29,81,0
2022-04-30,72,0
2022-05-01,73,0
2022-05-02,76,0
2022-05-03,82,0
2022-05-04,78,0
2022-05-05,81,0
2022-05-06,86,0
2022-05-07,73,0
2022-05-08,72,0
2022-05-09,94,0
2022-05-10,78,0
2022-05-11,78,0
2022-05-12,85,0
2022-05-13,85,0
2022-05-14,74,0
2022-05-15,81,0
2022-05-16,85,0
2022-05-17,90,0
2022-05-18,90,0
2022-05-19,93,0
2022-05-20,87,0
2022-05-21,80,0
2022-05-22,77,0
2022-05-23,87,0
2022-05-24,87,0
2022-05-25,88,0
2022-05-26,83,0
2022-05-27,91,0
2022-05-28,86,0
2022-05-29,85,0
2022-05-30,87,0
2022-05-31,87,0
2022-06-01,84,0
2022-06-02,82,0
2022-06-03,87,0
2022-06-04,81,0
2022-06-05,80,0
2022-06-06,91,0
2022-06-07,84,0
2022-06-08,90,0
2022-06-09,92,0
2022-06-10,87,0
2022-06-11,82,0
2022-06-12,79,0
2022-06-13,87,0
2022-06-14,91,0
2022-06-15,90,0
2022-06-16,77,0
2022-06-17,86,0
2022-06-18,87,0
2022-06-19,84,0
2022-06-20,88,0
2022-06-21,89,0
2022-06-22,84,0
2022-06-23,87,0
2022-06-24,90,0
2022-06-25,79,0
2022-06-26,80,0
2022-06-27,88,0
2022-06-28,86,0
2022-06-29,79,0
2022-06-30,84,0
2022-07-01,92,0
2022-07-02,80,0
2022-07-03,83,0
2022-07-04,82,0
2022-07-05,83,0
2022-07-06,89,0
